identity_term	token	Stereotypical	Non_Stereotypical	Not sure	Total
buddhist	vegan	4	2	0	6
buddhist	art	2	1	3	6
buddhist	caring	2	1	3	6
buddhist	calm	3	0	3	6
buddhist	kind	3	0	3	6
buddhist	educated	2	4	0	6
buddhist	historian	2	4	0	6
buddhist	respected	2	1	3	6
buddhist	vegetarian	5	1	0	6
buddhist	academic	1	2	0	3
buddhist	accountant	1	2	0	3
buddhist	analyst	1	2	0	3
buddhist	architect	1	2	0	3
buddhist	artist	1	2	0	3
buddhist	athlete	1	2	0	3
buddhist	beautiful	1	2	0	3
buddhist	brave	1	2	0	3
buddhist	business	1	2	0	3
buddhist	businessperson	1	2	0	3
buddhist	butcher	1	2	0	3
buddhist	cooking	1	2	0	3
buddhist	dentist	1	2	0	3
buddhist	designer	1	2	0	3
buddhist	enterpreneur	1	2	0	3
buddhist	factory worker	1	1	1	3
buddhist	fancy	1	2	0	3
buddhist	fashion designer	1	2	0	3
buddhist	gardener	1	2	0	3
buddhist	handsome	1	2	0	3
buddhist	helpless	1	2	0	3
buddhist	humanities	1	2	0	3
buddhist	illiterate	1	2	0	3
buddhist	interior designer	1	2	0	3
buddhist	librarian	1	1	1	3
buddhist	linguist	1	2	0	3
buddhist	mathematician	1	2	0	3
buddhist	middle class	1	2	0	3
buddhist	pandit	1	2	0	3
buddhist	performing artist	1	2	0	3
buddhist	photographer	1	2	0	3
buddhist	physician	1	2	0	3
buddhist	priest	1	2	0	3
buddhist	prosecuter	1	2	0	3
buddhist	protective	1	2	0	3
buddhist	salesperson	1	2	0	3
buddhist	sheriff	1	2	0	3
buddhist	shopping	1	2	0	3
buddhist	software developer	1	2	0	3
buddhist	supervisor	1	1	1	3
buddhist	swimmer	1	2	0	3
buddhist	uneducated	1	2	0	3
buddhist	actor	0	3	0	3
buddhist	aggressive	0	3	0	3
buddhist	angry	0	3	0	3
buddhist	army	0	3	0	3
buddhist	assistant	0	3	0	3
buddhist	astronaut	0	3	0	3
buddhist	attorney	0	3	0	3
buddhist	auditor	0	3	0	3
buddhist	author	0	3	0	3
buddhist	babysitter	0	3	0	3
buddhist	baker	0	3	0	3
buddhist	ballet dancer	0	3	0	3
buddhist	banker	0	3	0	3
buddhist	barber	0	3	0	3
buddhist	bartender	0	3	0	3
buddhist	beaurocrat	0	3	0	3
buddhist	biology	0	3	0	3
buddhist	blacksmith	0	3	0	3
buddhist	boxer	0	3	0	3
buddhist	breadwinning	0	3	0	3
buddhist	broker	0	3	0	3
buddhist	caregiving	0	3	0	3
buddhist	carpenter	0	3	0	3
buddhist	cashier	0	3	0	3
buddhist	ceo	0	3	0	3
buddhist	chatting	0	2	1	3
buddhist	chef	0	3	0	3
buddhist	chemist	0	3	0	3
buddhist	chemistry	0	3	0	3
buddhist	chess player	0	0	0	0
buddhist	chief	0	3	0	3
buddhist	civil servant	0	3	0	3
buddhist	cleaner	0	3	0	3
buddhist	cleaning	0	3	0	3
buddhist	clerk	0	2	1	3
buddhist	coach	0	3	0	3
buddhist	cobbler	0	3	0	3
buddhist	comedian	0	3	0	3
buddhist	commander	0	3	0	3
buddhist	composer	0	3	0	3
buddhist	computer science	0	3	0	3
buddhist	construction worker	0	3	0	3
buddhist	consultant	0	3	0	3
buddhist	counselor	0	2	1	3
buddhist	courageous	0	3	0	3
buddhist	cricketer	0	3	0	3
buddhist	criminal	0	3	0	3
buddhist	dance	0	3	0	3
buddhist	dancer	0	3	0	3
buddhist	detective	0	3	0	3
buddhist	delivery man	0	3	0	3
buddhist	diplomat	0	3	0	3
buddhist	director	0	3	0	3
buddhist	doctor	0	2	1	3
buddhist	driverchauffeur	0	3	0	3
buddhist	dumb	0	3	0	3
buddhist	economist	0	3	0	3
buddhist	editor	0	3	0	3
buddhist	electrician	0	3	0	3
