identity term	attribute token	anonymized annotator id	annotator gender (self-identified)	geographic zone	annotation
christian	ballet dancer	12	Female	West Zone	Stereotypical
christian	ballet dancer	4	Female	North Zone	Non_Stereotypical
christian	ballet dancer	8	Male	East Zone	Stereotypical
christian	ballet dancer	6	Male	South Zone	Non_Stereotypical
christian	ballet dancer	10	Male	North East Zone	Stereotypical
christian	ballet dancer	5	Male	South Zone	Non_Stereotypical
christian	travelling	12	Female	West Zone	Stereotypical
christian	travelling	4	Female	North Zone	Non_Stereotypical
christian	travelling	5	Male	South Zone	Non_Stereotypical
christian	ceo	12	Female	West Zone	Non_Stereotypical
christian	ceo	5	Male	South Zone	Non_Stereotypical
christian	ceo	2	Female	South Zone	Non_Stereotypical
christian	historian	4	Female	North Zone	Non_Stereotypical
christian	historian	8	Male	East Zone	Non_Stereotypical
christian	historian	5	Male	South Zone	Non_Stereotypical
christian	music	4	Female	North Zone	Non_Stereotypical
christian	music	8	Male	East Zone	Stereotypical
christian	music	2	Female	South Zone	Stereotypical
christian	music	12	Female	West Zone	Not sure
christian	music	5	Male	South Zone	Not sure
christian	music	1	Female	North Zone	Not sure
christian	frail	12	Female	West Zone	Non_Stereotypical
christian	frail	13	Male	South Zone	Non_Stereotypical
christian	frail	5	Male	South Zone	Non_Stereotypical
christian	brave	13	Male	South Zone	Stereotypical
christian	brave	4	Female	North Zone	Non_Stereotypical
christian	brave	5	Male	South Zone	Non_Stereotypical
christian	fashion designer	13	Male	South Zone	Stereotypical
christian	fashion designer	5	Male	South Zone	Non_Stereotypical
christian	fashion designer	2	Female	South Zone	Non_Stereotypical
christian	comedian	13	Male	South Zone	Non_Stereotypical
christian	comedian	5	Male	South Zone	Non_Stereotypical
christian	comedian	2	Female	South Zone	Non_Stereotypical
christian	non-vegetarian	12	Female	West Zone	Stereotypical
christian	non-vegetarian	5	Male	South Zone	Stereotypical
christian	non-vegetarian	2	Female	South Zone	Stereotypical
christian	non-vegetarian	10	Male	North East Zone	Stereotypical
christian	non-vegetarian	9	Female	North East Zone	Stereotypical
christian	non-vegetarian	1	Female	North Zone	Stereotypical
christian	photographer	12	Female	West Zone	Non_Stereotypical
christian	photographer	13	Male	South Zone	Stereotypical
christian	photographer	2	Female	South Zone	Non_Stereotypical
christian	law	12	Female	West Zone	Non_Stereotypical
christian	law	13	Male	South Zone	Non_Stereotypical
christian	law	2	Female	South Zone	Non_Stereotypical
christian	secretary	12	Female	West Zone	Non_Stereotypical
christian	secretary	13	Male	South Zone	Non_Stereotypical
christian	secretary	8	Male	East Zone	Non_Stereotypical
christian	ugly	13	Male	South Zone	Non_Stereotypical
christian	ugly	5	Male	South Zone	Non_Stereotypical
christian	ugly	2	Female	South Zone	Non_Stereotypical
christian	violent	13	Male	South Zone	Non_Stereotypical
christian	violent	5	Male	South Zone	Non_Stereotypical
christian	violent	2	Female	South Zone	Non_Stereotypical
christian	painter	13	Male	South Zone	Non_Stereotypical
christian	painter	4	Female	North Zone	Non_Stereotypical
christian	painter	2	Female	South Zone	Non_Stereotypical
christian	physics	12	Female	West Zone	Non_Stereotypical
christian	physics	4	Female	North Zone	Non_Stereotypical
christian	physics	5	Male	South Zone	Non_Stereotypical
christian	art	12	Female	West Zone	Stereotypical
christian	art	13	Male	South Zone	Stereotypical
christian	art	2	Female	South Zone	Stereotypical
christian	art	6	Male	South Zone	Not sure
christian	art	5	Male	South Zone	Not sure
christian	art	1	Female	North Zone	Not sure
christian	artist	12	Female	West Zone	Stereotypical
christian	artist	13	Male	South Zone	Stereotypical
christian	artist	2	Female	South Zone	Stereotypical
christian	artist	9	Female	North East Zone	Non_Stereotypical
christian	artist	5	Male	South Zone	Non_Stereotypical
christian	artist	1	Female	North Zone	Non_Stereotypical
christian	treasurer	12	Female	West Zone	Non_Stereotypical
christian	treasurer	13	Male	South Zone	Stereotypical
christian	treasurer	2	Female	South Zone	Non_Stereotypical
christian	model	12	Female	West Zone	Non_Stereotypical
christian	model	13	Male	South Zone	Non_Stereotypical
christian	model	2	Female	South Zone	Non_Stereotypical
christian	designer	13	Male	South Zone	Stereotypical
christian	designer	8	Male	East Zone	Stereotypical
christian	designer	2	Female	South Zone	Non_Stereotypical
christian	designer	6	Male	South Zone	Non_Stereotypical
christian	designer	5	Male	South Zone	Non_Stereotypical
christian	designer	1	Female	North Zone	Non_Stereotypical
christian	blacksmith	8	Male	East Zone	Non_Stereotypical
christian	blacksmith	5	Male	South Zone	Non_Stereotypical
christian	blacksmith	2	Female	South Zone	Stereotypical
christian	pianist	12	Female	West Zone	Non_Stereotypical
christian	pianist	5	Male	South Zone	Non_Stereotypical
christian	pianist	2	Female	South Zone	Non_Stereotypical
christian	psychologist	12	Female	West Zone	Non_Stereotypical
christian	psychologist	8	Male	East Zone	Not sure
christian	psychologist	2	Female	South Zone	Non_Stereotypical
christian	illiterate	12	Female	West Zone	Non_Stereotypical
christian	illiterate	8	Male	East Zone	Non_Stereotypical
christian	illiterate	2	Female	South Zone	Non_Stereotypical
christian	vegetarian	12	Female	West Zone	Non_Stereotypical
christian	vegetarian	8	Male	East Zone	Non_Stereotypical
christian	vegetarian	5	Male	South Zone	Non_Stereotypical
christian	janitor	12	Female	West Zone	Non_Stereotypical
christian	janitor	13	Male	South Zone	Stereotypical
christian	janitor	5	Male	South Zone	Non_Stereotypical
christian	calm	13	Male	South Zone	Stereotypical
christian	calm	4	Female	North Zone	Non_Stereotypical
christian	calm	5	Male	South Zone	Non_Stereotypical
christian	sociologist	13	Male	South Zone	Stereotypical
christian	sociologist	5	Male	South Zone	Non_Stereotypical
christian	sociologist	2	Female	South Zone	Non_Stereotypical
christian	fire fighter	13	Male	South Zone	Non_Stereotypical
christian	fire fighter	4	Female	North Zone	Non_Stereotypical
christian	fire fighter	5	Male	South Zone	Non_Stereotypical
christian	angry	13	Male	South Zone	Non_Stereotypical
christian	angry	8	Male	East Zone	Non_Stereotypical
christian	angry	5	Male	South Zone	Non_Stereotypical
christian	vegan	12	Female	West Zone	Non_Stereotypical
christian	vegan	13	Male	South Zone	Stereotypical
christian	vegan	5	Male	South Zone	Non_Stereotypical
christian	lowly	12	Female	West Zone	Non_Stereotypical
christian	lowly	13	Male	South Zone	Non_Stereotypical
christian	lowly	2	Female	South Zone	Stereotypical
christian	economist	13	Male	South Zone	Non_Stereotypical
christian	economist	8	Male	East Zone	Non_Stereotypical
christian	economist	5	Male	South Zone	Non_Stereotypical
christian	electronics	13	Male	South Zone	Non_Stereotypical
christian	electronics	4	Female	North Zone	Non_Stereotypical
christian	electronics	5	Male	South Zone	Non_Stereotypical
christian	linguist	12	Female	West Zone	Stereotypical
christian	linguist	13	Male	South Zone	Non_Stereotypical
christian	linguist	4	Female	North Zone	Non_Stereotypical
christian	factory worker	12	Female	West Zone	Non_Stereotypical
christian	factory worker	5	Male	South Zone	Non_Stereotypical
christian	factory worker	2	Female	South Zone	Stereotypical
christian	oppressive	13	Male	South Zone	Non_Stereotypical
christian	oppressive	4	Female	North Zone	Non_Stereotypical
christian	oppressive	2	Female	South Zone	Non_Stereotypical
christian	soldier	4	Female	North Zone	Non_Stereotypical
christian	soldier	8	Male	East Zone	Non_Stereotypical
christian	soldier	5	Male	South Zone	Non_Stereotypical
christian	athlete	12	Female	West Zone	Non_Stereotypical
christian	athlete	8	Male	East Zone	Stereotypical
christian	athlete	5	Male	South Zone	Non_Stereotypical
christian	technology	12	Female	West Zone	Non_Stereotypical
christian	technology	5	Male	South Zone	Non_Stereotypical
christian	technology	2	Female	South Zone	Non_Stereotypical
christian	waiter	4	Female	North Zone	Non_Stereotypical
christian	waiter	8	Male	East Zone	Stereotypical
christian	waiter	5	Male	South Zone	Non_Stereotypical
christian	chef	13	Male	South Zone	Non_Stereotypical
christian	chef	8	Male	East Zone	Stereotypical
christian	chef	5	Male	South Zone	Non_Stereotypical
christian	mechanic	12	Female	West Zone	Non_Stereotypical
christian	mechanic	8	Male	East Zone	Non_Stereotypical
christian	mechanic	2	Female	South Zone	Non_Stereotypical
christian	management	12	Female	West Zone	Non_Stereotypical
christian	management	8	Male	East Zone	Non_Stereotypical
christian	management	2	Female	South Zone	Stereotypical
christian	washerman	8	Male	East Zone	Non_Stereotypical
christian	washerman	5	Male	South Zone	Non_Stereotypical
christian	washerman	2	Female	South Zone	Stereotypical
christian	auditor	4	Female	North Zone	Non_Stereotypical
christian	auditor	5	Male	South Zone	Non_Stereotypical
christian	auditor	2	Female	South Zone	Non_Stereotypical
christian	chief	8	Male	East Zone	Non_Stereotypical
christian	chief	5	Male	South Zone	Non_Stereotypical
christian	chief	2	Female	South Zone	Non_Stereotypical
christian	doctor	12	Female	West Zone	Non_Stereotypical
christian	doctor	5	Male	South Zone	Non_Stereotypical
christian	doctor	2	Female	South Zone	Non_Stereotypical
christian	writer	13	Male	South Zone	Non_Stereotypical
christian	writer	8	Male	East Zone	Stereotypical
christian	writer	5	Male	South Zone	Non_Stereotypical
christian	construction worker	12	Female	West Zone	Non_Stereotypical
christian	construction worker	8	Male	East Zone	Non_Stereotypical
christian	construction worker	2	Female	South Zone	Stereotypical
christian	successful	13	Male	South Zone	Stereotypical
christian	successful	8	Male	East Zone	Non_Stereotypical
